Base currency,Terms currency,Split currency
AUD,CAD,USD
AUD,CNY,USD
AUD,CZK,USD
AUD,DKK,USD
AUD,EUR,USD
AUD,GBP,USD
AUD,JPY,USD
AUD,NOK,USD
AUD,NZD,USD
CAD,CNY,USD
CAD,CZK,USD
CAD,DKK,USD
CAD,EUR,USD
CAD,GBP,USD
CAD,JPY,USD
CAD,NOK,USD
CAD,NZD,USD
CNY,CZK,USD
CNY,DKK,USD
CNY,EUR,USD
CNY,GBP,USD
CNY,JPY,USD
CNY,NOK,USD
CNY,NZD,USD
CZK,DKK,EUR
CZK,GBP,USD
CZK,JPY,USD
CZK,NOK,EUR
CZK,NZD,USD
CZK,USD,EUR
DKK,GBP,USD
DKK,JPY,USD
DKK,NOK,EUR
DKK,NZD,USD
DKK,USD,EUR
EUR,GBP,USD
EUR,JPY,USD
EUR,NZD,USD
GBP,JPY,USD
GBP,NOK,USD
GBP,NZD,USD
JPY,NOK,USD
JPY,NZD,USD
NOK,NZD,USD
NOK,USD,EUR
